               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.055731,             0.38044,           0.0036439,             0.59081,             0.54571,             0.57298,             0.23078,            0.051904,             0.21338,           0.0040354,           0.0037705,           0.0037705,            0.036371
                  75,            0.058849,             0.36556,           0.0029392,             0.65993,             0.69601,             0.69368,             0.29311,            0.049066,             0.22323,           0.0042125,           0.0037565,           0.0037565,            0.035457
                  76,            0.057158,             0.33873,           0.0033356,             0.44461,             0.55665,             0.41719,             0.12304,            0.059015,             0.22226,           0.0037618,           0.0037408,           0.0037408,            0.034541
                  77,            0.059465,             0.35366,           0.0028257,             0.64533,             0.73107,             0.66091,             0.24238,            0.047808,              0.2388,           0.0037765,           0.0037234,           0.0037234,            0.033623
                  78,            0.059136,             0.34875,           0.0030977,             0.64115,             0.74111,             0.64833,             0.26323,            0.052865,             0.21168,           0.0041537,           0.0037044,           0.0037044,            0.032704
                  79,            0.061451,             0.39754,           0.0030967,             0.71765,             0.66524,             0.69833,             0.28663,            0.049633,                0.22,           0.0038414,           0.0036838,           0.0036838,            0.031784
                  80,             0.05456,             0.34229,           0.0027945,             0.50598,             0.60393,             0.49586,             0.12717,            0.055708,             0.23786,           0.0042035,           0.0036616,           0.0036616,            0.030862
                  81,            0.057801,             0.34972,           0.0028157,             0.64293,             0.55344,             0.61194,             0.21968,            0.050588,             0.21496,           0.0041017,           0.0036378,           0.0036378,            0.029938
                  82,            0.054093,             0.34425,           0.0028203,             0.66764,             0.59268,             0.64688,             0.26078,             0.04959,             0.21716,            0.003713,           0.0036126,           0.0036126,            0.029013
                  83,            0.055204,             0.39156,           0.0027723,             0.60061,             0.70857,             0.61096,             0.24841,            0.048832,             0.33428,           0.0036074,           0.0035859,           0.0035859,            0.028086
                  84,            0.055501,             0.38848,           0.0027295,             0.55075,             0.43323,             0.44604,             0.18236,            0.056391,             0.25037,           0.0058141,           0.0035578,           0.0035578,            0.027158
                  85,            0.055818,             0.34633,           0.0023036,             0.66827,             0.53825,             0.63489,             0.27303,            0.050334,             0.24001,           0.0050535,           0.0035283,           0.0035283,            0.026228
                  86,            0.054535,             0.34587,           0.0026047,             0.64904,             0.54101,             0.61741,             0.17888,            0.058344,             0.22452,           0.0035059,           0.0034974,           0.0034974,            0.025297
                  87,            0.059464,              0.3511,           0.0025207,             0.77461,             0.72832,             0.76378,             0.31919,            0.048236,             0.21351,           0.0028462,           0.0034653,           0.0034653,            0.024365
                  88,             0.05186,             0.36365,           0.0023862,              0.7198,             0.67645,             0.67249,              0.2508,             0.04737,             0.21352,            0.003034,           0.0034319,           0.0034319,            0.023432
                  89,            0.054628,             0.35656,           0.0023435,             0.73018,             0.70417,             0.72569,             0.31668,            0.046526,             0.20693,           0.0028831,           0.0033973,           0.0033973,            0.022497
                  90,            0.052581,             0.34517,             0.00258,             0.65684,             0.74296,             0.72289,             0.26908,             0.04742,             0.20777,           0.0027019,           0.0033615,           0.0033615,            0.021562
                  91,            0.053345,             0.34806,           0.0023816,             0.67972,             0.62968,             0.67682,              0.2482,            0.050887,              0.2201,           0.0031418,           0.0033246,           0.0033246,            0.020625
                  92,            0.055009,             0.32889,           0.0025023,             0.65037,             0.62937,             0.62542,             0.22166,            0.052269,             0.21527,           0.0034028,           0.0032867,           0.0032867,            0.019687
                  93,            0.055029,             0.36386,           0.0019789,             0.65167,             0.74444,             0.69234,             0.27651,            0.044967,             0.23432,           0.0032828,           0.0032477,           0.0032477,            0.018748
                  94,            0.054736,             0.36487,           0.0025418,              0.5914,             0.66492,             0.61268,             0.23132,            0.049169,             0.22856,           0.0028347,           0.0032078,           0.0032078,            0.017808
                  95,             0.05322,             0.34626,           0.0024038,             0.72931,             0.63289,             0.70194,             0.27217,            0.047646,             0.22615,           0.0031916,           0.0031669,           0.0031669,            0.016867
                  96,            0.054238,             0.34638,           0.0024251,             0.66523,             0.80063,              0.7218,             0.27102,            0.049136,              0.2088,           0.0030324,           0.0031252,           0.0031252,            0.015925
                  97,            0.058514,             0.34108,           0.0023234,             0.73265,              0.6586,             0.71148,             0.28412,            0.050413,             0.21394,           0.0030052,           0.0030827,           0.0030827,            0.014983
                  98,            0.054594,             0.34869,           0.0024418,             0.71769,             0.67266,             0.70737,             0.28589,            0.049773,             0.21717,           0.0030313,           0.0030395,           0.0030395,            0.014039
                  99,            0.051412,             0.33553,           0.0025608,             0.73474,             0.65251,             0.68268,             0.25317,            0.051931,             0.21887,           0.0024252,           0.0029956,           0.0029956,            0.013096
                 100,             0.05117,             0.34164,           0.0021325,             0.66027,             0.72177,             0.70883,             0.23224,            0.048806,             0.21606,           0.0025958,            0.002951,            0.002951,            0.012151
